combined_tagalog,english,difficulty,similarity_score,source
¿Anó ang kamatayan?,What is death?,Easy,0.9685,El Filibusterismo
¿hindi mo ba nakikita ang mga paang iyán?,Don't you see those feet?,Easy,0.9502,Noli Me Tangere
"¡Si María Clara ay buháy, si María Clara ay kailang̃ang mabuhay!","Maria Clara lives, Maria Clara must live!",Medium,0.9444,El Filibusterismo
Hindi sumagot si María Clara.,Maria Clara did not answer.,Easy,0.9415,Noli Me Tangere
Ang lalaki'y nawalâ.,The man disappeared.,Easy,0.9336,El Filibusterismo
Nakikita mo ba ang sugat na ito?,Do you see this wound?,Easy,0.9302,Noli Me Tangere
Si Simoun ay nápang̃itî ng̃ malungkót.,Simoun smiled sadly.,Easy,0.9299,El Filibusterismo
¿anó pa ang ibig mo?,What more do you want?,Easy,0.9165,Noli Me Tangere
¿Kinausap mo ba si Elías?--ang tanóng n~g isáng tinig.,"""Have you spoken to Elias?"" asked a voice.",Medium,0.9124,Noli Me Tangere
¡buenos dias!,Buenos dias!_,Easy,0.9074,Noli Me Tangere
Nan~gagsiluhód ang lahat upang magpasalamat sa Dios.,All knelt to render thanks to God.,Easy,0.9074,Noli Me Tangere
Ikinibít ni Pecson ang kanyáng balikat.,Pecson shrugged his shoulders.,Easy,0.9068,El Filibusterismo
¿Anó ang nangyari sa binatà?,What had happened to this young man?,Easy,0.9064,El Filibusterismo
"Sa malinis na simuy ng̃ ating bayan, sa ilalim ng̃ kaniyáng lang̃it na bugháw, sa ibabaw ng̃ alon ng̃ lawàng nakukulóng ng̃ bulubunduking kulay sápiro at baybaying esmeralda; sa kaniyáng malilinaw na batisan na nilililiman ng̃ mg̃a punòng kawayan, hinihiyasan ng̃ mg̃a bulaklák at binibigyáng buhay ng̃ mg̃a tutubí't paróparó sa kaniláng walâng tung̃o at malikót na pagliliparan na warìng nang̃agsisipaglarô sa hang̃in; sa katahimikan ng̃ ating mg̃a gubat, sa awit ng̃ ating mg̃a batisan, sa buhos na brillante ng̃ ating mg̃a talón ng̃ tubig, sa maningníng na liwanag ng̃ ating buwán, sa mg̃a buntóng hining̃á ng̃ hang̃in sa gabí, sa isáng sabi, sa lahát ng̃ bagay, na makapagpapaalala sa larawan ng̃ ginigiliw, ay makikita ka naming gaya ng̃ pinang̃arap naming anyô mo na marilág, magandá, nakang̃itîng gaya ng̃ pag-asa, kasinglinis ng̃ liwanag, dátapwâ'y malungkót at mapighatîng tinátanáw ang aming karumaldumal na kalagayan.","In the clear air of our native land, under its azure sky, above the billows of the lake set amid sapphire hills and emerald shores, in the crystal streams shaded by the bamboos, bordered by flowers, enlivened by the beetles and butterflies with their uncertain and wavering flight as though playing with the air, in the silence of our forests, in the singing of our rivers, in the diamond showers of our waterfalls, in the resplendent light of our moon, in the sighs of the night breeze, in all that may call up the vision of the beloved, we must eternally see you as we dreamed of you, fair, beautiful, radiant with hope, pure as the light, yet still sad and melancholy in the contemplation of our woes!",Hard,0.9061,El Filibusterismo
Tatlóng patayan ang nangyari sa gabíng yaón.,Three murders had been committed during the night.,Easy,0.9058,El Filibusterismo
¡Isáng manggagamót!,A doctor!,Easy,0.9047,Noli Me Tangere
Ang aking amá ... sa bilangguan ... ¿napipiít sa bilangguan?,"""My father--in prison--confined in a prison?",Easy,0.9046,Noli Me Tangere
"""N~g matapos ang procesio'y pinasimulán ang misa, na sinasaliwan n~g orquesta at n~g mga artista n~g teatro.","""The procession concluded, there began the mass rendered by the orchestra and the theatrical artists.",Hard,0.9045,Noli Me Tangere
¿Hindî ba sinabi co na sa inyóng tiwasay na tumitiboc ang aking pusô?,Have I not told you that my heart beats tranquilly?,Medium,0.9034,Noli Me Tangere
